主题（动宾）,正文(可缺省),分类,场景标签,时间
"我们都有过被迫或无聊的对话，或者充满尴尬的沉默。这段视频中，
我们要学习和别人闲谈的5个步骤。","1.赞美。夸两句身体工作
2.使用“这让我想起”进行话题转换
3.共同话题
4.问为什么和推进式聊天。（深入话题）
5.笑就完事
6模仿对方的言辞。。。。",交往,,
"关于交友 与人相处
选妃打咩：不要这么不要脸（找xx搭子之类的）",,交往,,
"对美的看法
","关于美
美是多种多样的美，雷同美（单调同一，帅也同理）只是最低层次的美，个性美更有魅力，
王欣雅的美是一种，钟烨的美也是另一种绝美，同一化的美是美但层次太低","网络, 生活",,
"实际生活中做出选择就不要后悔了，特别在选人方面
",,交往,,
"不一定非找搭子
君子和而不同～（只有小人哪怕同也不合）",,交往,,
"我尊重别人的工作，爱好，性格，理想，三观
并且能聊的起来",,交往,,
"不要画靶射箭：
带着立场评判和试探别人",,"交往, 个人提升",,
当自己已经很美了 就开始猎奇和审丑了,,网络,,
"去年考研考试上阳了，心率120，体温40度，出考场还摔马路牙子上了在路上爬了五分钟才起来不起来。凌晨四点起来背专业课。二战，复习一年半，当时想得是是天上下刀子我也得去。""我们考研人是这样的",,"学业, 网络",,
"“男生想要的安全感”
有话直说，有时候男生真的get不到，所以不要让人猜
妥善处理异性的关系
对对方的付出一定要有回应，哪怕是言语上的（反馈感）。经常关心别人
时不时的夸一夸，被喜欢的人尊重和崇拜是世界上最满足的事情
信任",,交往,,
"【关于人脉：】
不要有复杂的人机关系
大部分人都是过客
不必加微信
不要太听话了",,交往,,
"【关于进实验室，在实验室干活儿:】
实验室是交流，观看，体验氛围，强迫自律
一个人的孤独才是实力
羡慕别人是没必要的，你是你。你比他们更加坚强
好相处-跟什么人都要很快聊得来，迎接新人、",,学业,,
"关于爱情 异性相处
【现代恋爱生活感想】
与其物质的花费，不如多花一些时间，和精力（多聊天多出去等等）
预约办证
做视频
不要有自尊心！！不要为了面子而做什么事情
只有你不要脸，才能赢
我发现我没办法忽视，我没办法放下，怪街上太热闹，🚦车辆太闪烁，🎆人行太拥挤，耳机里的情歌太深情，天气太冷清。此刻，我只想为你送上我最真挚的祝福💗，我命令大雨不准淋湿你☔️，可是，我又算什么东西，💔居然还敢给雨下命令，于是我反倒被倾盆暴雨淋到生病。💔眼泪如黄果树瀑布般飞流直下，💧划过我的脸庞，打湿了我的人字拖，🩴脚趾都变得酸涩，可是即使这样，我也只想对着全世界大喊📣：祝老徐生日快乐！！！
好像跟女生聊天，出去玩 谈恋爱的感觉也没有那么有区别，那么有期待
有人说旅游就是折磨自己（借口罢了）
肯受折磨 旅游
你想不想去取决于谁陪你去
交往
性格互补 性格不一样很容易在一起
不要聊自己：
看你过得好会嫉妒，或要点好处，借钱
看你过得差，别人也会看低你
自己要做的事情千万不要大张旗鼓的告诉别人（事以密成，言以泄败）不是怕做不到丢脸，而是怕快做到了但别人把你拉下来",,交往,,
"【交往】
不要跟内心阴暗，有很多小心思的人打交道（但是自己也别乐呵呵的，没用）
不要向别人过度透露自己的隐私信息（不管是舍友还是好朋友）特别是父母，关系，自己的工资，学习能力和水平等等",,交往,,
"见家长
1.给家庭每个成员准备礼物
2.主动陪对方父母聊天
3.控制一些行为细节
4.能帮忙尽量帮忙
5.看父母相处模式
6.看装修（实用or形式）
7.看生活习惯细节
8.看父母对女儿的态度
9.看女儿干活的麻利程度
10.看女儿对父母的态度
不要做一个思想老旧传统的人",,交往,,
"【人际交往】
为什么女生可以全网找“搭子”，随便网上找一个人就拼成团了
男生就是偏向于找朋友
女生在外面拍拍照＞真的体验
让大家觉得你体验了很重要
实力，颜值才是把别人留住友情和感情的一切。而不是“时间”（不要相信所谓日久生情）
对cyy的评价：没有分享欲，已经“淡了”
人与人交往的时间大概15个月左右",,交往,,
我也很喜欢你，但是我考虑了很多，我觉得我们不能在一起,,交往,,
"你觉得恋爱是一种开始还是一个结果？恋爱是一个关系，是一个双方都要为此付出很多让步和牺牲的关系，互相做的让步越少（不同点越少）恋爱的开心程度越高
我不想让你做出那么大的牺牲，如果我们因（异地 xx理想 三观）不同而需要互相牺牲，我觉得这并不是一个自由而且让人开心的事情，还不如维持现状，大家各过各的
如果你是为了我而付出代价，那我们会因为这个问题在未来爆发出无数的矛盾的，没有必要，也不值得",,交往,,
"不要轻易表白，当你越成熟就越要留着那层窗户纸
再也不会有小鹿乱撞的感觉了",,交往,,
"男女关系很多问题都起源于信息不对等
今天能有天大的惊喜，明天就能瞒住天大的秘密",,交往,,
"两个人在一起就是不断面对问题，经历各种考验，不断打怪升级
所以做好自己就好了",,交往,,
"不要把感受藏在心里
表面上也要察言观色
（如果女生表面不安 不开心，那就是一定的不开心）",,交往,,
"“最烦有事不说的人，生活不易还要猜来猜去，还不如自己过”
不过不能以这种观点以己度人",,交往,,
安全感要靠自己给,,交往,,
"女生说没关系，一般都是有关系（问题就开始了）
吵架的问题，往往只是导火索",,交往,,
"吵架的时候怎么办呢？
要让女生懂你的不开心
分手的前期，就是两人的共同语言越来越少了
升职加薪，和自我成就，只有自己在乎。
别人更加在乎与她相关的东西",,交往,,
"互相的情感反馈，有没有实现呢
很多人都有工作＞陪伴女友的想法
确立关系
在男生看来是为了维护关系的继续，要付出努力（间接交付）
但是女生对确立关系的看法是：要开始兑现你的承诺了
一定要互相说真心话，有事就说
（让步时不要强调自己的牺牲 会让别人不舒服）给自己一种高傲的感觉（我xx多么多么忙 百忙之中选择了你）
吵架怎么办？
去听听不同的思路
经济是一切的基础",,交往,,
"怎么拒绝别人？
一定要真诚，诚恳，从对方角度考虑问题。同时可以适当撒谎，不能伤了别人的心
",,交往,,
"我觉得亲密关系的核心还是课题分离。知道自己想从对方那获得什么，什么是自己的事，什么是对方的事，不要明明是自己的课题，却推到对方的身上。
“开始总是分分钟都妙不可言，谁都以为热情它永不会减”
消费主义的盛行让这对年轻的情侣喜欢上了相同的商品符号，把对相同商品的喜欢误以为是灵魂的契合，其实是外在的消费主义文化将两人塑造的如此相像。实际上两人深层的内核是完全不同的，女生家庭条件优渥，可以支持她去追寻自己喜欢的东西而不被世俗打扰。男生家庭条件一般，注定了他会为了事业和稳定的未来而奋斗，同时也会牺牲在女生眼中最宝贵的理想。所以转化为方法论的话就是要和伴侣多聊一聊三观，你从哪里来，将来又想到哪里去。
",,交往,,
"自己不用说实话，但是让别人理解就行（唱双簧）
不要包装了，对一些人来说不需要装（尤其爱情）
自信一点，正常发挥就不错啦",,交往,,
"找对象最在意的事情：
善良，无论何时何地都会想着你，遇到陌生人，的同理心与态度
情绪稳定，自我控制自我调节，更加稳定，面对压力的观察
长相
忠诚
合理的争吵，为了解决问题而不是宣泄情绪
成长型思维的人，面对挑战不回避不消极，而是积极迎战",,交往,,
"方法论：
捯饬自己：简单干净
破开圈子，认识人：参加活动 要联系方式
很多活动都是自带社交属性的（徒步 密室逃脱等等）",,交往,,
不要冷战，发脾气要及时灭火，注意观察对方想要的和不想要的,,交往,,
"了解对方想要什么？为什么会有人觉得感情里很累
abcde？对面更想要e，但你只给abcdabcd，对症下药，不要低效付出
一般的abcde：
a：精心的时刻：足够时间，陪伴质量，问问题要了解详尽
b：物质型，礼物 “超出寻常价格”，注重节日和生日
c：看行动，多做事，帮助12345小事
d：身体接触，摸摸抱抱贴贴",,交往,,
"初中陈颖慧 管理班费（几十块钱算不明白）
维持跟cyy的朋友关系即可，不需要额外的付出了
对女生付出再多，他也会觉得是应该的
但是对男生付出一点他都能叫你爹
真正的社牛遇到谁都能搭话
女生圈适合浅交不适合深交，因为容易勾心斗角",,交往,,
"跟cyy的联系应该越来越少，比较好
因为本身就没什么感觉，而且在尽量避免交流",,交往,,
很多人倾向于自己一个人人玩,,网络,,
"吵架是很正常的，情侣。
相互不说话才不正常",,交往,,
你约别人的时候，每个人的心情，手中的事情都不一样，所以理解尊重,,交往,,
"女主可能是小时候也对异性有好感，但是太胖觉得自卑 一直被这种自卑折磨，困扰自己，然后终于下定决心减肥吧（又把心理问题变成了身体问题） 一直觉得减下来就好了，但有时候又觉得减不减无所谓，总是处于问题两端不断给自己压力又不断说服自己，造成回避型心理，有的时候觉得该这样做有时候觉得自己做不做也无所谓，觉得自己是自信的，但又没自己想象中那么自信，我觉得要解决这个问题的关键，是要建立一个合适的正反馈，也就是减肥目的是为了谈恋爱，这当然也不是随便谈，可以看出来女主对自己这些年有意或无意的自我意识强化，减下来变好看是能找到更好看的，更帅的，更好的，由喜欢rap 这个点可能看出是因为喜欢这样一种特质，很普通又很自信很想要变得耀眼，很能控场掌控别人掌控自己的感觉，这可能是对自己这样样心理磨难和心路历程的解释 喜欢什么往往也是间接告诉别人是什么样一个人和想要成为什么样的人，我的建议是形成正反馈，也就是找个男生来段恋爱好了，然后把身心投入里面，别想这么多乱七八糟的事，当然，这男生也不是好看就完事了，还要温柔体贴，有能让女主维持恋爱关系的决心，才能帮助女主形成这样的正反馈，而不能来一段随便的关系又对女主造成压力，而又加深心理问题了 这样看起来也有点挑，但也确实属于对症下药了[笑哭]而且女主第一印象就给人印象不错的样子，但吸引到身边的可能大多是不属于这种性格的男生，这个我建议改变一下自己的风格，试试淑女风，而且我觉得很多小动作也是，明显比较温雅的性格，而穿衣又是另外一种风格，驾驭不好这种运动风和少女风，也可以看出内心也是挺复杂和矛盾的
其实漂亮的人也会有很大的心里问题，他们的颜值焦虑，身材焦虑更加严重",,"交往, 网络",,
"每个人的审美都在变化
自己从可爱到性感到熟女",,交往,,
聊天特别是跟陌生人，要有足够的情绪价值,,交往,,
"要看人下菜碟
对面外向你也多说
对面不想说话/不接话茬，你也别硬聊
可以先展示自己，让别人深挖你的点
也可以深挖别人说的（比如别人爱唱歌 唱什么 我喜欢陈奕迅，的xxx，xx歌我也听过，xx我在哪里看的）
抛话题，找话题，也要接话茬
但是不要过度试探别人的影视
在女生眼里要没有“男”味
越强势越凶越不喜欢
hhh
不过我也不喜欢
表达就会暴露认知，观点和态度
没有谁喜欢平平淡淡
谁不喜欢浪浪漫漫“要会来事儿”
需要有仪式感
主动找别人
而不是等别人找你
去约所有人",,交往,,
"原来李娜也那么社恐啊？wc
收拾自己，干净整洁即可
穿搭也很重要（身材也很重要）
相亲一要真诚",,交往,,
"与异性交流
不要彩虹屁，不要硬夸，别人说什么就是什么，可以在心里怀疑但是不要说出来，不要liao话题，可以多看别人的尬聊，采访
不要夺命连环问（像查户口），从生活小事开始，不要直接问那种很尬的（不要像简历面试一样，问什么兴趣爱好之类的，大的空的）
也不要问很有争议或者很深度的问题
其实话可以不用那么密（特别是刚见面的话），会展现自己的自卑和匮乏感，说的越多越体现自己说话境界不够
第一印象+第一感觉很重要，很多人都在意第一印象
陌生人最好不要尬聊，最好有个媒介（熟人，某件事，吃着饭，拼积木唱k等活动）有个话题
不要一见面就做旁边，会让女生觉得很没有边界感（保持边界感）
然后做事情不要太太太认真，特别是交往为主的东西，是不是开点玩笑，偶尔插两句调节一下气氛
特别是男生和女生，有第三者调节气氛是最能推动的。（比如中美本来是对抗关系，如果多了个印度，大家都对着印度输出了，就可以转移矛盾）
不管自己在不在意，都可以偶尔目视一下别人的眼睛，但是不要一直盯着
研究生一般都有对象焦虑
细节：让利而非舔狗。
比如看菜单，囚徒困境，让我先看但是选择权给你
面对面吃饭，不要前倾示好，也不要一直保持距离
一定要看人下菜碟，没有固定套路，如果对面感兴趣（主动提问）你就多倾听
如果对面没有倾听的兴趣，就少说话，尽快结束流程，不要多问
如果你有缺陷（发际线），可以用帽子🎩遮盖，提升第一印象（后面在坦诚相待也行，但是表面上至少要装一下）然后再不经意间说实话（因为xxx，所以xx，或者本质，目的。这样减小突兀感，显得没那么刻意）
心里话&本质的东西，不要随便说，因为说了本质相当于把话题结束了（xx的本质是xx，说完没得说了）
聊专业聊工作，交换基本信息后延展话题，没问题
要抓住机会，如果女生感兴趣就一直聊下去（哪怕说点假话）不要马上且不停切话题，可以一个话题聊久一点
然后作为ld，什么领域都了解一点比较好
多才多艺在交往里很加分，比如钢琴，吉他，跳舞，太极☯等等
所有的交际都是以人为本的，要和人互动，不要闷头
与陌生人，熟人见面可以准备一些不太贵重的小礼物
仪式感真的很重要
",,交往,,
出国后安全第一（看了这么多鬼片，边区往事，等等之后的感想），要有警惕心,,网络,,
"事故是有3Q法则的，
n个不良因素叠加导致一个隐患
一百个隐患导致一个险情
十个险情造成一起事故
",,"个人提升, 其他",,
"【选择性盲从：追求没实现的，不想要得到的】
Know that you don't know yourself, or at least not as well as you think you do.
【今日分享】心理学家培特·乔纳森的一项对人类的选择盲从性的心理现象的研究。
在此次实验中，他揭示了一个颇具讽刺意味的现实：我们追求的往往是我们未能获得的，而得到的可能并非真正所愿。
这种现象暗示，有时候，人们对于“想要”的认知可能仅仅是一种事后的合理化，或者说是“事后诸葛亮”。在做出选择之前，我们往往缺乏一个完整的决策基础，这使得当我们面对错误的选择结果时，我们不得不进行新的认知结构的重建。这种重构不仅仅是对错误选择的一种自我安慰，更是一种对自我认知的更新，它反映了人们在面对事后结果时的自我阐释过程。
在这个过程中，我们的自知之明可能并非源自真实的自我理解，而是一种被迫的、不自觉的自我解释。这种心理特性在现实生活中常被人为利用。例如，当我们没有构建过坚固的个人认知体系时，外界的人或团体通过提问“为什么”，或者带有特定目的的误导，可能会促使我们构建起一个全新的、并不真实的认知体系。这个体系虽源于自我解释，但一旦被引向不良方向，我们便容易受到外界的操控和利用。
然而，乔纳森也认为，这种心理特性并非全然是负面的。人类天生对事物存在误解的倾向，意味着我们的认知是可以被重构的，我们随时都有机会去改变。这种可塑性不仅适用于个人，也适用于影响他人。它提供了一种可能性，即通过不断的自我反思和学习，我们可以不断地适应和塑造自己的认知世界，无论是为了改变自己还是为了改变他人。这种认知的灵活性和可塑性是人类适应复杂社会环境的重要机制，它使我们有能力在不断变化的世界中找到自己的位置，并作出更符合现实的选择。
在很久之前，我曾经看过一个辩论，忘记具体辩题是什么了，陈铭学长在辩论中讲述到被误解是一种常态，当时我理解的“被误解”是存在于人与人之间的交流沟通之中，而在这个实验里，让自我阐释成为自知之明就是一种“被误解”。
We observe and interpret ourselves.
Be aware of question Why!
Take things back!
“You are allowed to take things back. Because i said i like something doesn't mean i have to like it still, and getting rid of the need to stay consistent is actually a huge relief and makes relational life so much easier to live.”
2023.12.23Newman思考俱乐部_太空
",,"网络, 个人提升",,
"生命 意义 
流浪地球影评
在虚拟世界的永生源于我们对死亡世界的恐惧，怕死才想要永生。但是一旦我们实现了永生，我们还会珍惜生命吗？所以失去才懂得让人珍惜。如果要人学会生活，不能让他的愿望全部实现，得偿所愿，你宁愿让他失无可失，让他去急救病房里走一圈，你就知道怎么生活了（人类得失的话题）
如果我们终将失去，那我们拥有的意义是什么？如果我们终将失败，那我们奋斗的意义是什么？
 （无意义论，很多人都用结果来反问过程）
如果以个体的角度去探讨，很多奋斗的东西没有任何意义（又更好的物质条件又怎么样）。但是，一个物种的伟大之处就在于人类生生不息，并在此获得意义。
人类会在生存危机中产生哲学。古希腊的哲学最早都是生活悲剧，活不下去了才想人生意义。获得好好的想什么意义
流浪地球电影的惊喜：
对于未来，悲观者是正确的，乐观者是有利的
要找到勇气直面生活中的困难，这点很难
狭隘，自私，分歧，争斗。永远都不会消失。但幸好，人类的豁达，无私，坦诚，伟大也永远不会消失
这个世界永远会有阴影，阴暗，那是因为我们头顶永远有阳光
科技的发展通过发明工具提升了人们的效率。比如人工智能替我们做了一切决定。但人对效率的极致追求有时候会泯灭人性（moss叛逃，是理性）
情与理的纠结本质是对人性的探索
相比技术的困难，让人更沮丧的是人性的弱点
 ",,其他,,
"学生思维
将《我要涨粉》这种目的赤裸裸的表现出来就是学生思维[doge]
1.对于完成一项具体工作，总是寻求标准答案。
思路：判断能力+寻找最有解决办法的能力，借鉴，甄别，整合；这是寻求他人帮助的关键，而不是省事
目标：寻找最适合自己的方法
方法：收集信息-筛选方法-实践验证效果-根据反馈做出调整-找到解决办法
认知：上述过程是不断迭代的
收获：总结适合自己的做事方式，形成自己做事的良好习惯，克服困难，迎接挑战
2.低估客观情况的复杂性
思路：共线性分析，匹配度分析；非互斥的变量如何相互影响，如何共同作用于因变量的变化
做法：调整自变量，改进因变量，多做就会效果更好
举例：拉来经费+请客送礼+科研成果
方法：把自己能想到的做到最好，把能提供帮助的资源极致运用，剩下交给时间
3.缺乏站在利益相关方立场上来思考问题的能力
否则：离散信息背后的逻辑线有漏洞
重要：随时保持信息沟通的壁垒不被打破
看一个人做了什么，站在什么立场上，为了什么诉求而做
事情尘埃落定的时候，还蒙在鼓里，认为是自己的原因导致的结果
聪明是互相的，智慧是抽象的
人是不断发展的，时刻迭代的，这是人类时刻发展的核心驱动力
勇于表达自己的诉求，不羞于寻求有经验的人的帮助和指导，培养自己接受挑战和克服困难的能力
现在的老板是一个掌控欲比较强的人，课题组里所有人课题的大方向到具体路线全都给你安排的明明白白，自己能发挥的空间比较少。而且有时候还爱push人，可能早上给的ideal，下午就会来找你要结果，一天来问你两三次。说实话这对于我这种科研小白来说是再适合不过了，只需要当老板的操作工。但随着时间的流逝，就会发现，像他们这种脱离实验室好久，只会看文章的人有时候提出的想法真的很不切实际，甚至是带我走了弯路。而这时候不管是我的理论还是实践经验都有了一定的积累，开始对老板提出的建议有自己的思考，有自己的评判，开始敢和老板讨论这个方法的可行性，而不是一味的顺从。我认为这是我摆脱学生思维的一个开始。
在我眼里如果没有一定的累积，那我们必定是要从学生做起的。还有就是有没有自己思考的能力，有没有自己的主观能动性。今年我带了一个非常让我头疼的师弟，他就像是地上的石头，你推他一下他动一下，不管说什么都没有回应。对要做的课题没有丝毫的好奇心，等着我像高中的老师一样把实验的知识点全都灌给他。而且就算我事无巨细的教了，不管听没听懂，没有疑问，没有反馈。结果当然也是他什么都做不好。这让我不禁讶异，这是真的要来做科研的人吗。
我同学有三种人，一种不间断学业读上来的，一种工作几年辞职来读的，还一种是在职读的。三种人你去观察他们的思维习惯、处事方式、经济条件，就会发现他们的选择、决定和判断是有着因物质基础所限的根本性原因的。我作为其中一种，很明显能感受到与其他两者的思维不同，所谓“代沟”，但我也能理解这种现象产生的原因，所以我一般为了省心，非必要不去交流。同时，也深刻感受到了道不同和志同道合的差异。
学生思维给我的感觉就是单线思维，往窄了说是一根筋，但往宽了说就是抓主要矛盾。虽然对以后步入社会不利，但对于做学生来说还是一种很有效的思维方式的。毕竟作为一个普通学生，能知道自己长处在哪，应该朝哪个方向全力以赴，以点带面，盘活全局，就已经很不错了。我个人是比较能接受学生思维的，这让我的学习生活更放松，能静下心来学点东西，深入我所想要深入学习的学术领域，尽可能摒弃外界因素的干扰。当然，辩证思维指导我，在该用社交的时候还是需要将其拿起来的，我在面对非学习能解决的问题时，也会用其他方式来解决问题，比如说选学校、选导师的时候。至少在我踏入工作以前，我认为我依然会以学生思维为主，之后逐步转换思维方式吧。
给up投两个币，一个为up信守诺言，一个为这期视频的内容
up在这期视频中提到的学生思维的具体表现，就如同三道枷锁一般
第一道枷锁:寻求标准答案（实际上世上很多事没有标准答案，只有适合你的方法）
   通过自己近期的高强度学习感觉自己已经摆脱了这层枷锁。举个例子，各种考试都有经验贴，但不能照搬，照搬就属于偷懒。而应该像up说的那样先参考这些经验贴，然后自己实践，接着在实践过程中不断修正，最终形成属于自己的方法。这没有捷径可走
第二道枷锁:低估事物的客观复杂性
up在视频中具了一个反例，大意是说学生思维会使你把劲全都用到一个角度。我认为造成这种现象的原因是你会扬长避短，有时又会畏难，导致对自己的短板干脆不管不顾。
第三道枷锁，缺乏其他的利益相关方立场上来思考问题的能力
我感觉想站在别人的角度思考问题难度不小。原因有二:
1.俗话说当局者迷旁观者清，当你置身事内，尤其是利益受损者，往往很难站在对方的角度看问题；
2.现在流行这么一个词语交“思维反刍”，有些时候过度思考反而会对当事人造成二次伤害。
我个人认为可以通过一些方法慢慢调节:多看书，勇敢的多经历些事（见得多了，也许就能慢慢克服上述的精神内耗）；之后再对书中的人物事件、亲身经历的人物事件进行思考。
打破学生思维：1.对于完成一项具体工作，不要寻求标准答案，而是PDCA：收集信息-筛选方法-实践验证效果-根据反馈做出调整；2.不用低估客观情况的复杂性，事情的原因有很多（核心自变量+多个控制变量+交互项...）举例：拉来经费+请客送礼+科研成果，方法：把自己能想到的做到最好，把能提供帮助的资源极致运用，剩下交给时间；3.站在利益相关方立场上来思考问题。 ",,个人提升,,
"考一个研究生的做题时间（保底3000h）什么概念呢，足够让你学会一个可以谋生的专业技能，钢琴6级 学会吉他 书法 钢琴 跳舞 足球 网球 ，完全学会德语46级，西班牙语等等
研究生性价比",考研真的值得吗,学业,,
国人在外不要轻易相信别人，财不外露！（ps：在哪也不能露，人心隔肚皮，除了父母至亲谁都不能信）,,交往,,
"读书目的 学习的意义
价值观才是读书的目的，知识不是
",,个人提升,,
"成体系的学习，思考
不断的复盘与整理
减小碎片化时间
是当今社会最稀缺的
",,个人提升,,
"我慢慢明白了为什么我不快乐，因为我总是期待一个结果。
看一本书期待它让我变得深刻，吃饭游泳期待它让我一斤斤瘦下来，发一条短信期待它被回复，对别人好期待被回待以好，写一个故事说一个心情期待被关注被安慰，参加一个活动期待换来充实丰富的经历。这些预设的期待如果实现了，长舒一口气，如果没有实现呢，自怨自艾。
可是小时候也是同一个我，用一个下午的时间看蚂蚁搬家，等石头开花，小时候不期待结果，小时候哭笑都不打折。
--《允许自己虚度时光》
""功利主义总是让我们忘了其实生命的本质是一场历程 …""",,个人提升,,
"尹正 人生总结
这半年时间我总结出了自己的5条经验：
1、在生意场上，大家表面上客客气气、恭恭敬敬，其实有一套内在的利益机制在掌握着人的各种行为。有些事只可做而不可说，有些事只可说而不可做，要想看透每个人的行为，必须用“利益分析法”。每遇到一件事，要迅速切割成不同的利益方，用每个人的切身利益推导每个人的行为，千万不要被表面的各种仁义道德所迷惑。
2、要想往上爬，最厉害的本领不是你能力有多强，而是懂得如何牺牲小收益获取大价值，懂得舍小而取大。这是做人的大道，原胜过做事的技巧。所以“做人”往往比做事更讨巧。
3、强者制定规则，弱者追求公平。但规则往往只用来约束弱者，而公平也只相对存在，就像下棋，和大哥下棋，象能不能过河取决于他。和小弟下棋，卒能不能后退，取决于你。
4、任何时候不要掏心掏肺，因为吃肉的时候总是一桌人，洗碗的时候却是一个人。大部分的人，吃肉的时候夸肉香，洗碗的时候嫌碗脏。
5、做什么事，不能天天想着结果，这是大忌 望梅止渴是用在冲刺阶段的，而不是一路寄托这个幻想，靠这个虚无缥缈的东西撑下去。不然，走着走着就走不动了。定个阶段性目标，一步一个脚印，踏踏实实的。",,个人提升,,
"跟着群众跳火坑
        最近我听到一种说法，就是群众看我们党和党的干部，不看历史看现实，不看说的看做的，不看政绩看“败笔""，不看上面看基层。这虽然不很全面，但从一个侧面反映出基层干部在群众心目中的分量，反映出基层干部队伍建设在整个党的建设中的分量。党的正确的方针政策只有被群众理解、为群众接受，才能变成改造客观世界的物质力量。我们的方针再正确，如果不被群众理解，也难以贯彻施行。如果群众不听，你就先跟着群众走，群众跳火坑，你也跟着跳下去。群众觉悟了，从火坑里爬出来，最终还是要跟你走。群众跳，你不跳，干群关系就疏远了。你一起跳，感情上拉近了，工作就好做了。新形势下群众工作的特点是什么?一个重要特点是，群众的民主意识、自我维权意识增强了。
        对此，我们要讲两句话:第一句话，干部要相信和依靠群众，但又不能做群众的尾巴;第二句话，干部要教育和引导群众，但千万不能站到群众的对立面。
        [摘自2005年1月13日《人民日报》“声音”专栏",,"个人提升, 网络",,
"you can never be ready
你永远都准备不好
 你去问高三孩子准备高考准备好了吗，他会说你再给我一年
 你在给他十年都不一定能准备好
 人永远不会准备好直到被推上去",,"生活, 个人提升",,
"保持好奇，把时间和精力留给自己，全方位提升个人能力，包括业余爱好和专业技能。
保持谦逊，尊重他人的选择，因为我们不知道未来的自己喜欢什么。
保持勇敢，告诉自己明天的我可以做到，个人持续的增长让一切皆有可能。
2023.11.28_morning",,个人提升,,
"【人生经验】一定要有方法论+举例
有家庭之后，就没那么自由，就是负担，就是妥协，就是在主要矛盾和次要矛盾之间抉择
人只在乎自己没得到的
得到的都觉得无所谓",,"个人提升, 生活",,
【hyc租房甲醛案】哪怕官司你必赢，也会被一审+二审+上诉，拖得你不放，逼着你付出极高的维权成本,,生活,,
农村的娃 放假没事干就写作业 没有那么多娱乐的方式，都是写数学背英语啥的，你不可能比得过人家,,学业,,
"千万千万不要，临阵换将
美国大选，就算你不好你也坚持着啃下去",,网络,,
消费者趋于专业化和理性化，会影响品牌的更迭,,项目与产品,,
"什么钱最好收割
标签的钱最好收割
星巴克的咖啡，迪卡侬户外运动服装，等等",,"项目与产品, 网络",,
"自证考验心理素质
没有错就不要怕，不要胆小怕惹事
有事就硬刚
别人质问你的时候
用居高临下的语气质问回他，回呛他",,"网络, 交往",,
要有谈判技巧，特别是沟通的时候（主要讲究竞争压价，等等）,,"工作, 网络",,
"不要和好朋友，兄弟，亲人做生意
一定会因为分钱的问题闹掰
关系好，所以要给多还是给少呢？
给多了，还不如让三方做
给少了，关系那么好给那么少
类似这种，都是坑自己人的，真要是个外人，他反而不会去坑了。
都是觉得自己人，有亲情在里面，给少点他也不会说什么，真有活了，他还能不给我怎么滴。
最后真要有活不给他了，他就开始在家人群里胡说八道起来了，“有钱让外人挣，不给自家人”之类的就开始道德绑架起来了。",,工作,,
破窗效应：如果违法不究，就是在包容违法,,网络,,
"既讨厌爹味说教，又有所谓“厌蠢症”
都给你们唐完了，好话坏话全给说了",,交往,,
"规定永远就是拦住那些普通人的
要是你畏惧了，就成不了事",,"个人提升, 网络",,
转述事实时不要带观点，要客观实在,来源：班委 四六级拿成绩单 发现没有，第一件事是揣测别人拿走了，却没有想到可能是没人考试（就没有成绩单）,"工作, 交往",,
做不到就别答应 给了希望又失望 讨厌至极 ,,交往,,
人都是喜新厌旧的,,交往,,
"现在不喜欢对线的原因是主要是很容易变成无效交流
1.你摆事实讲道理，最后对面一句“撇开事实不谈，难道他就没有错吗？”
2.你对线前要无限叠甲，但凡少一层甲对面就要抓这一点钻牛角尖，辩到最后完全偏题，根本不在原来讨论的话题上。 ",,交往,,
"干工程的，完全没有上下班时间
全天上班and全天下班",,工作,,
"大家都在跟更高层次的人交往，都企图在对方里面获取利益
大家都在增加自己的谈资",,"交往, 个人提升",,
"大家都只跟相同年龄，有共同话题的人聊
同一个主题的人（女生和女生聊 保险的和保险的聊）",,交往,,
"同行一定会有共同话题，一般都是业务上的交流
当然也会有架构的聊天
要学习各行各业，熟悉和不同行业的人深度交流
学习沟通能力，全行业基础知识",,交往,,
"自信大方的演讲最重要，有条不紊，不要讲话太虚
缺点不要讲，但是画饼要画的够大",,个人提升,,
"有数据，对比
老师只想听自己想听的
不要ppt模板，老师会看腻的
什么是自己的技术
有性能分析
技术方面，老师都知道，不要讲废话
讲自己的成果，而不是文档介绍的部分
寻找技术点和难点，只讲技术点难点
老师的科研目标，自己更加熟悉。所以不用太多技术相关
着重讲成果就好
成果要求【不使用开源】or【前沿科技成果】or【工程量巨大】or【没有参考】
老师的小idea
大数据讲了三个（数据图像处理，二维码xx）
功能实用的最好，老师最喜欢
纯没用的，不要做
很多老师，不参与开发，但是xx框架啊什么的，都见的多了。
突出自己的
只是少了很多前沿的
不一定什么都为了赚钱
但一定要有价值",,"项目与产品, 工作",,
能看合同，就不要听口头承诺,,工作,,
"不要因为别人的成功而否认自己
赌博还有中一百万的时候呢",,个人提升,,
"不仅要判断立场，还要考虑对错，不要把自己带入
有可能大家的立场一致（结果一样）但是过程完全不一样",,"交往, 个人提升",,
"不要出现归因错误
就像在性别立场上，我和maga一样，不代表我就是maga
学会分辨谁是朋友谁是敌人",,"个人提升, 网络",,
工程实践告诉我们，要先造假在变真,,工作,,
直接问别人可能会撒谎，但是别人的同学可能会说真话,,交往,,
